Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,32,27.7,55.8,29,319,"2,610",29,61,42,103,57,4,6,53,1,50.3,45.6,35.5,81,686,1385,2.1,1.45,3.55,1.97,3.41,1.73,1.22,2.96,1.57,2.79
Bologna,29,26.9,58,29,319,"2,610",29,48,36,84,42,6,7,45,3,40.2,34.7,27.3,62.1,510,1149,1.66,1.24,2.9,1.45,2.69,1.39,0.94,2.33,1.2,2.14
Cagliari,26,27.3,45.4,29,319,"2,610",29,26,21,47,23,3,3,52,3,33.8,31.5,24.5,55.9,396,896,0.9,0.72,1.62,0.79,1.52,1.17,0.84,2.01,1.08,1.93
Como,38,27,53.4,29,319,"2,610",29,30,26,56,30,0,2,70,6,32.7,31.2,25.8,57,489,989,1.03,0.9,1.93,1.03,1.93,1.13,0.89,2.02,1.08,1.97
Empoli,33,26.2,41.2,29,319,"2,610",29,22,13,35,20,2,3,48,3,24.5,22.1,17,39.1,326,738,0.76,0.45,1.21,0.69,1.14,0.84,0.58,1.43,0.76,1.35
Fiorentina,34,26.8,49.5,29,319,"2,610",29,45,30,75,39,6,8,62,2,36,29.8,24.6,54.4,475,953,1.55,1.03,2.59,1.34,2.38,1.24,0.85,2.09,1.03,1.87
Genoa,34,27.1,45.3,29,319,"2,610",29,27,21,48,27,0,2,57,0,30.2,28.5,22.3,50.9,360,794,0.93,0.72,1.66,0.93,1.66,1.04,0.77,1.81,0.98,1.75
Hellas Verona,32,25.8,37.8,29,319,"2,610",29,26,17,43,24,2,2,77,8,27.6,26.1,20.5,46.6,346,757,0.9,0.59,1.48,0.83,1.41,0.95,0.71,1.66,0.9,1.61
Inter,25,30,59.3,29,319,"2,610",29,62,47,109,56,6,7,39,1,53.5,48.3,38,86.3,528,1360,2.14,1.62,3.76,1.93,3.55,1.84,1.31,3.15,1.67,2.98
Juventus,29,25.4,58.7,29,319,"2,610",29,43,29,72,38,5,5,49,1,40.4,36.6,27.5,64,638,1169,1.48,1,2.48,1.31,2.31,1.39,0.95,2.34,1.26,2.21
Lazio,26,27.9,54.4,29,319,"2,610",29,49,35,84,44,5,6,67,4,44.4,40,29.6,69.6,602,1183,1.69,1.21,2.9,1.52,2.72,1.53,1.02,2.55,1.38,2.4
Lecce,30,26.7,44.8,29,319,"2,610",29,21,16,37,19,2,3,47,5,26.9,24.7,19.1,43.8,400,825,0.72,0.55,1.28,0.66,1.21,0.93,0.66,1.58,0.85,1.51
Milan,34,26.3,54.9,29,319,"2,610",29,43,29,72,39,4,7,55,5,48.7,43.3,35.1,78.4,742,1290,1.48,1,2.48,1.34,2.34,1.68,1.21,2.89,1.49,2.7
Monza,35,27.4,47.6,29,319,"2,610",29,23,15,38,20,3,3,71,3,22.9,20.7,15.7,36.4,390,816,0.79,0.52,1.31,0.69,1.21,0.79,0.54,1.33,0.71,1.25
Napoli,26,29.2,53.6,29,319,"2,610",29,42,30,72,38,4,5,35,0,41.1,37.3,29.9,67.3,569,1225,1.45,1.03,2.48,1.31,2.34,1.42,1.03,2.45,1.29,2.32
Parma,32,24.5,45,29,319,"2,610",29,34,24,58,28,6,7,59,5,34.1,28.6,22,50.6,492,862,1.17,0.83,2,0.97,1.79,1.17,0.76,1.93,0.99,1.74
Roma,28,27.2,55.9,29,319,"2,610",29,43,26,69,36,7,7,53,1,41.8,36.3,27.8,64.1,550,1185,1.48,0.9,2.38,1.24,2.14,1.44,0.96,2.4,1.25,2.21
Torino,28,27.4,47.4,29,319,"2,610",29,31,20,51,30,1,2,63,2,25.6,24.1,16.8,40.9,396,847,1.07,0.69,1.76,1.03,1.72,0.88,0.58,1.46,0.83,1.41
Udinese,29,27.2,47.4,29,319,"2,610",29,35,24,59,33,2,4,70,4,29.3,26.1,20.1,46.2,428,887,1.21,0.83,2.03,1.14,1.97,1.01,0.69,1.7,0.9,1.59
Venezia,36,26.1,44.6,29,319,"2,610",29,23,12,35,19,4,5,57,1,26.3,22.4,15.9,38.4,388,815,0.79,0.41,1.21,0.66,1.07,0.91,0.55,1.45,0.77,1.3